PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73769 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,16845465,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,19103346,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,18948552,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,18892246,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,18917091,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,19719723,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,19729767,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,19129587,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,19329035,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,19400913,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,19592325,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,19565594,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,19484613,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,19547601,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,19556561,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,20643250,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,20614103,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,20509657,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,20104579,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,19834383,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,20252505,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,20284283,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,20521714,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,20205676,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,20363026,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73769 GB 
cbp_class,log_chance
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
